"SRX"	"SRR"
"SRX259079"	"SRR1107849,SRR1107848,SRR1107846"
"SRX259080"	"SRR1067494,SRR1067495,SRR1067491"
"SRX259082"	"SRR1067492,SRR1067488,SRR1067487"
"SRX259089"	"SRR1067053,SRR1067056,SRR1067054"
"SRX259090"	"SRR1067060,SRR1067051,SRR1067055"
"SRX259091"	"SRR1067052,SRR1067057,SRR1067050"
"SRX259092"	"SRR1067049,SRR1067059,SRR1067058"
"SRX263857"	"SRR1220423,SRR1220425,SRR1045583,SRR1220421,SRR1045582,SRR1220422,SRR1045584,SRR1220428,SRR1045585,SRR1220426,SRR1220424,SRR1220427"
"SRX263858"	"SRR1220432,SRR1220431,SRR1220434,SRR1220436,SRR1220430,SRR1054858,SRR1220429,SRR1220433,SRR1220435,SRR1054856,SRR1054859,SRR1054857"
"SRX263859"	"SRR1045589,SRR1045588,SRR1220440,SRR1045586,SRR1220442,SRR1220437,SRR1220443,SRR1220441,SRR1220438,SRR1220439,SRR1045587,SRR1220444"
"SRX263860"	"SRR1220373,SRR1045522,SRR1220376,SRR1045524,SRR1220379,SRR1045523,SRR1220378,SRR1220380,SRR1220375,SRR1045525,SRR1220377,SRR1220374"
"SRX263861"	"SRR1220445,SRR1045591,SRR1220451,SRR1220447,SRR1220449,SRR1220446,SRR1045590,SRR1045592,SRR1220450,SRR1220452,SRR1220448,SRR1045593"
"SRX263862"	"SRR1220385,SRR1220384,SRR1220388,SRR1220381,SRR1220382,SRR1045526,SRR1220387,SRR1045527,SRR1220383,SRR1045528,SRR1220386,SRR1045529"
"SRX263863"	"SRR1220459,SRR1220456,SRR1220460,SRR1220457,SRR1045596,SRR1045597,SRR1220455,SRR1220453,SRR1045595,SRR1220454,SRR1220458,SRR1045594"
"SRX263864"	"SRR1045533,SRR1220394,SRR1220396,SRR1045532,SRR1220390,SRR1220391,SRR1045531,SRR1220389,SRR1220392,SRR1220395,SRR1045530,SRR1220393"
"SRX263865"	"SRR1220463,SRR1220466,SRR1220468,SRR1045598,SRR1220464,SRR1220462,SRR1045599,SRR1045600,SRR1220467,SRR1045601,SRR1220461,SRR1220465"
"SRX263866"	"SRR1045571,SRR1220402,SRR1045573,SRR1220398,SRR1220400,SRR1045570,SRR1220403,SRR1220399,SRR1220397,SRR1045572,SRR1220404,SRR1220401"
"SRX263867"	"SRR1220473,SRR1220475,SRR1220472,SRR1045604,SRR1045602,SRR1045603,SRR1220469,SRR1045605,SRR1220474,SRR1220471,SRR1220470,SRR1220476"
"SRX263868"	"SRR1220407,SRR1220408,SRR1045575,SRR1045577,SRR1045574,SRR1220406,SRR1220411,SRR1220409,SRR1220412,SRR1220410,SRR1220405,SRR1045576"
